energy, prob
95.42, 0.0448
115.84, 0.087
146.11, 0.0906
180.42, 2.84
244.53, 0.403
268.48, 0.214
295.26, 0.828
314.40, 0.123
318.36, 0.227
330.33, 0.073
333.21, 0.171
351.46, 0.075
354.13, 0.097
359.20, 2.39
364.21, 0.305
404.64, 1.172
409.71, 0.231
415.17, 0.096
421.72, 0.050
435.04, 0.212
453.44, 0.538
471.54, 0.045
499.99, 0.430
505.33, 0.518
514.43, 0.147
523.13, 1.55
525.23, 0.1644
544.56, 15.42
589.98, 0.022
592.77, 0.041
606.22, 0.146
633.74, 2.53
647.94, 0.124
654.28, 2.97
670.31, 0.96
682.77, 5.76
684.18, 0.622
694.77, 0.403
707.08, 0.138
737.07, 0.444
761.12, 4.32
768.98, 0.321
773.37, 2.82
786.36, 1.071
787.16, 1.74
796.21, 0.040
812.97, 48.2
819.51, 1.39
826.75, 0.067
832.99, 0.063
840.17, 0.027
849.57, 0.076
861.00, 0.0680
874.89, 0.534
876.65, 2.75
903.19, 0.140
914.96, 23.3
940.51, 0.77
966.78, 8.96
992.70, 0.105
996.54, 0.176
1000.50, 0.050
1022.12, 0.029
1030.65, 15.13
1037.29, 0.307
1087.98, 0.411
1104.52, 0.341
1122.48, 0.092
1126.57, 0.120
1147.59, 0.089
1167.95, 0.253
1179.63, 0.0540
1196.42, 0.0853
1209.03, 0.940
1211.89, 0.38
1233.2, 0.053
1237.81, 0.241
1258.44, 0.402
1263.30, 0.910
1273.10, 0.164
1281.72, 0.559
1287.45, 0.100
1298.7, 0.12
1301.45, 0.202
1318.30, 0.462
1326.98, 0.695
1384.98, 0.100
1419.40, 0.394
1437.52, 0.316
1475.91, 0.0699
1480.94, 0.373
1501.04, 0.0598
1526.84, 0.548
1541.47, 0.0670
1570.09, 0.872
1582.11, 0.0337
1600.13, 0.579
1606.72, 0.0198
1622.46, 0.208
1646.79, 0.0270
1656.10, 1.311
1669.16, 0.0217
1691.24, 0.0424
1738.16, 7.45
1762.42, 0.0318
1779.78, 0.0781
1843.49, 0.021 
1871.58, 0.356
1891.10, 0.0159
2071.36, 0.729
2086.11, 0.0540
2114.67, 0.418
2134.86, 0.0371
2265.27, 0.0337
 
